"school" "size" "cath" "academic" "disclimate" "minority" "meanses"
"1" 1224 842 0 0.35 1.597 0 -0.428
"2" 1288 1855 0 0.27 0.174 0 0.128
"3" 1296 1719 0 0.32 -0.137 1 -0.42
"4" 1308 716 1 0.96 -0.622 0 0.534
"5" 1317 455 1 0.95 -1.694 1 0.351
"6" 1358 1430 0 0.25 1.535 0 -0.014
"7" 1374 2400 0 0.5 2.016 0 -0.007
"8" 1433 899 1 0.96 -0.321 0 0.718
"9" 1436 185 1 1 -1.141 0 0.569
"10" 1461 1672 0 0.78 2.096 0 0.683
"11" 1462 530 1 0.46 -0.287 1 -0.663
"12" 1477 531 1 0.81 -0.729 0 0.166
"13" 1499 1921 0 0.09 0.682 1 -0.46
"14" 1637 100 0 0.1 1.215 1 -0.699
"15" 1906 400 1 0.87 -0.939 0 0.518
"16" 1909 1357 0 0.45 0.875 0 0.254
"17" 1942 959 0 0.78 0.159 0 0.688
"18" 1946 1646 0 0.38 0.439 0 0.01
"19" 2030 1332 0 0.4 0.677 0 0.334
"20" 2208 1061 1 0.68 -0.864 0 0.429
"21" 2277 773 1 0.67 -0.725 1 -0.756
"22" 2305 485 1 0.69 -1.382 1 -0.622
"23" 2336 1523 0 0.63 0.156 0 0.448
"24" 2458 545 1 0.89 -1.484 1 0.234
"25" 2467 488 0 0.23 0.207 0 -0.324
"26" 2526 572 1 0.97 -2.154 0 0.333
"27" 2626 2142 0 0.4 0.142 0 -0.059
"28" 2629 1314 1 0.81 -0.613 0 -0.132
"29" 2639 2713 0 0.14 -0.282 1 -0.958
"30" 2651 1524 0 0.22 1.136 0 0.069
"31" 2655 2475 0 0.35 -0.378 1 -0.696
"32" 2658 780 1 0.79 -0.961 0 0.444
"33" 2755 270 1 0.96 -0.354 0 0.562
"34" 2768 1680 0 0.31 0.086 0 -0.048
"35" 2771 415 0 0.24 1.048 0 -0.333
"36" 2818 760 0 0.41 1.541 0 0.115
"37" 2917 2194 0 0.05 0.08 1 -0.792
"38" 2990 963 1 0.8 -0.434 1 0.661
"39" 2995 365 0 0.18 0.422 0 -0.296
"40" 3013 760 0 0.56 -0.213 0 -0.038
"41" 3020 457 1 0.56 -0.299 0 0.236
"42" 3039 686 1 1 -1.236 1 0.354
"43" 3088 1960 0 0.38 0.195 1 -0.467
"44" 3152 1313 0 0.59 1.098 0 0.037
"45" 3332 2212 0 0.55 -0.048 0 0.617
"46" 3351 1125 0 0.35 0.383 1 0.332
"47" 3377 2031 0 0.18 0.664 1 -0.579
"48" 3427 687 1 1 -1.262 0 0.159
"49" 3498 388 1 0.92 -1.556 0 0.666
"50" 3499 509 1 0.7 -0.039 1 0.456
"51" 3533 1015 1 0.54 0.022 0 -0.128
"52" 3610 1431 1 0.8 -0.621 0 0.126
"53" 3657 1137 0 0.31 -0.216 0 -0.643
"54" 3688 375 1 0.91 -1.521 0 0.411
"55" 3705 670 1 0.71 -0.165 1 0.241
"56" 3716 2357 0 0.5 1.297 1 -0.415
"57" 3838 1635 1 0.85 -0.255 1 0.151
"58" 3881 1881 0 0.33 0.84 0 0.134
"59" 3967 1061 0 0.46 -1.059 0 -0.219
"60" 3992 1114 1 0.73 -1.534 1 0.371
"61" 3999 1910 0 0.41 0.838 1 -0.085
"62" 4042 940 1 0.83 -0.94 0 0.408
"63" 4173 801 1 0.65 -0.755 0 0.038
"64" 4223 663 1 0.3 -0.967 0 -0.088
"65" 4253 510 1 0.6 -0.455 1 -0.368
"66" 4292 1328 1 0.76 -0.674 1 -0.48
"67" 4325 1217 0 0.41 0.349 0 -0.043
"68" 4350 1661 0 0.62 0.512 0 0.159
"69" 4383 1061 0 0.54 1.065 0 0.079
"70" 4410 100 0 0.38 0.673 0 0.102
"71" 4420 728 0 0.32 0.877 0 -0.218
"72" 4458 643 0 0.5 0.715 1 -1.043
"73" 4511 1068 1 0.52 -1.872 0 -0.101
"74" 4523 393 1 0.69 -0.784 1 -0.048
"75" 4530 435 1 0.6 -0.245 1 -0.591
"76" 4642 493 0 0.43 -0.086 0 0.121
"77" 4868 657 1 1 -0.219 0 0.367
"78" 4931 603 1 0.79 -1.172 0 0.371
"79" 5192 258 1 0.37 -0.36 0 -0.058
"80" 5404 700 1 0.9 -0.746 0 0.831
"81" 5619 1118 1 0.77 -1.286 0 0.426
"82" 5640 1152 0 0.41 0.256 0 -0.171
"83" 5650 720 1 0.6 -0.07 1 0.028
"84" 5667 810 1 0.59 -0.533 0 0.425
"85" 5720 381 1 0.65 -0.352 0 0.039
"86" 5761 215 1 0.63 -0.892 0 -0.317
"87" 5762 1826 0 0.24 0.364 1 -1.188
"88" 5783 1832 0 0.54 0.46 0 0.179
"89" 5815 949 0 0.19 1.749 0 -0.674
"90" 5819 1302 0 0.41 -0.26 0 0.188
"91" 5838 1627 0 0.53 0.138 0 0.163
"92" 5937 1153 0 0.58 -0.142 0 0.657
"93" 6074 2051 1 0.32 -1.018 0 -0.271
"94" 6089 594 0 0.53 -0.965 0 0.092
"95" 6144 1608 0 0.17 1.329 0 -0.432
"96" 6170 2126 0 0.25 0.432 1 -0.296
"97" 6291 1037 0 0.26 -0.303 1 -0.516
"98" 6366 1566 1 0.81 -0.667 0 0.316
"99" 6397 1234 0 0.32 0.642 1 -0.211
"100" 6415 296 0 0.48 1.04 0 -0.181
"101" 6443 1061 0 0.1 -0.42 0 -0.347
"102" 6464 1453 0 0.25 2.756 1 -0.67
"103" 6469 565 1 1 -0.865 0 0.759
"104" 6484 726 0 0.19 0.218 0 -0.179
"105" 6578 336 1 0.19 -0.874 0 -0.511
"106" 6600 299 0 0.28 -0.432 0 -0.048
"107" 6808 1700 0 0.18 1.669 1 -0.09
"108" 6816 745 1 0.96 -1.886 1 0.535
"109" 6897 1415 0 0.55 -0.361 0 0.356
"110" 6990 1650 0 0.59 0.475 1 -0.484
"111" 7011 100 1 0.44 0.1 0 -0.025
"112" 7101 2403 0 0.39 1.024 0 0.013
"113" 7172 280 1 0.05 1.013 1 -0.284
"114" 7232 1154 0 0.2 0.975 0 -0.084
"115" 7276 1630 0 0.3 0.109 0 0.084
"116" 7332 737 1 0.53 -0.864 0 0.303
"117" 7341 570 0 0.14 0.583 0 -0.158
"118" 7342 1220 1 0.46 0.38 1 -0.442
"119" 7345 978 0 0.64 0.336 1 0.039
"120" 7364 1500 1 0.35 -1.523 0 -0.083
"121" 7635 1495 1 0.48 -0.397 0 0.249
"122" 7688 1410 1 0.65 -0.575 0 0.192
"123" 7697 1734 0 0.2 0.279 0 0.264
"124" 7734 1580 0 0.4 2.027 1 -0.463
"125" 7890 311 0 0.21 0.845 0 -0.517
"126" 7919 1451 0 0.5 -0.402 0 0.464
"127" 8009 716 1 0.68 -0.933 0 0.522
"128" 8150 868 1 0.67 -0.057 0 0.312
"129" 8165 1346 1 0.6 -0.37 0 0.315
"130" 8175 1016 0 0.42 1.033 1 -0.166
"131" 8188 1896 0 0.25 1.695 0 0.145
"132" 8193 106 1 1 -1.186 0 -0.171
"133" 8202 1436 0 0.39 1.373 0 0.092
"134" 8357 2070 0 0.5 0.244 0 -0.101
"135" 8367 153 0 0 1.793 0 0.032
"136" 8477 1400 0 0.24 -0.001 0 -0.19
"137" 8531 2190 0 0.58 0.132 0 0.414
"138" 8627 2452 0 0.25 0.742 0 0.111
"139" 8628 652 1 0.66 -0.367 0 -0.134
"140" 8707 1133 0 0.48 1.542 0 0.161
"141" 8775 667 0 0.28 1.783 0 -0.334
"142" 8800 296 1 0.3 -1.142 1 -0.703
"143" 8854 745 0 0.18 -0.228 0 -0.751
"144" 8857 1069 1 0.65 -1.718 1 0.523
"145" 8874 2650 0 0.2 1.742 0 -0.335
"146" 8946 204 0 0.44 0.335 0 -0.345
"147" 8983 1061 0 0.27 0.079 0 -0.288
"148" 9021 472 1 0.82 -0.817 0 0.633
"149" 9104 1299 1 0.97 -0.718 0 0.749
"150" 9158 822 0 0.43 0.735 0 -0.396
"151" 9198 833 1 0.97 -1.225 0 0.498
"152" 9225 1951 0 0.56 0.048 0 0.259
"153" 9292 2350 0 0.13 2.043 1 -0.588
"154" 9340 257 0 0.47 0.274 0 -0.391
"155" 9347 1067 1 0.58 -0.905 0 0.218
"156" 9359 1184 1 0.69 -0.475 0 0.36
"157" 9397 1314 0 0.44 -0.231 0 0.14
"158" 9508 1119 1 0.52 -1.138 0 -0.132
"159" 9550 1532 0 0.45 0.791 0 0.059
"160" 9586 262 1 1 -2.416 0 0.627
