"school" "minority" "female" "ses" "math"
"1" 1224 0 0 0.022 4.583
"2" 1224 0 0 0.332 20.349
"3" 1224 0 0 0.372 6.714
"4" 1224 0 0 -0.078 16.405
"5" 1224 0 0 -0.158 17.898
"6" 1224 0 0 -0.298 19.338
"7" 1224 0 0 -0.458 21.521
"8" 1224 0 0 -0.468 3.154
"9" 1224 0 0 -0.468 21.178
"10" 1224 0 0 -0.528 20.349
"11" 1224 0 0 -0.548 8.296
"12" 1224 0 0 -0.628 21.721
"13" 1224 0 0 -0.668 8.781
"14" 1224 0 0 -0.878 10.557
"15" 1224 0 0 -0.938 0.868
"16" 1224 0 0 -0.998 0.523
"17" 1224 0 1 0.012 14.053
"18" 1224 0 1 0.042 2.927
"19" 1224 0 1 0.062 13.653
"20" 1224 0 1 0.282 11.542
"21" 1224 0 1 0.472 9.653
"22" 1224 0 1 0.752 23.584
"23" 1224 0 1 0.832 5.166
"24" 1224 0 1 0.972 2.059
"25" 1224 0 1 -0.118 13.255
"26" 1224 0 1 -0.128 6.558
"27" 1224 0 1 -0.138 9.255
"28" 1224 0 1 -0.248 16.336
"29" 1224 0 1 -0.258 6.821
"30" 1224 0 1 -0.418 2.183
"31" 1224 0 1 -0.478 3.745
"32" 1224 0 1 -0.568 6.399
"33" 1224 0 1 -0.588 19.708
"34" 1224 0 1 -0.618 -2.832
"35" 1224 0 1 -0.658 16.057
"36" 1224 0 1 -0.678 20.508
"37" 1224 0 1 -0.888 1.527
"38" 1224 0 1 -0.948 0.858
"39" 1224 0 1 -0.988 20.178
"40" 1224 0 1 -1.068 2.381
"41" 1224 0 1 -1.398 6.134
"42" 1224 0 1 -1.448 9.475
"43" 1224 0 1 -1.528 5.876
"44" 1224 1 0 0.142 -1.688
"45" 1224 1 0 -1.528 4.145
"46" 1224 1 0 -1.658 0.122
"47" 1224 1 1 -1.248 4.753
"48" 1288 0 0 0.032 7.519
"49" 1288 0 0 0.042 7.416
"50" 1288 0 0 0.222 21.437
"51" 1288 0 0 0.322 23.578
"52" 1288 0 0 0.472 15.699
"53" 1288 0 0 0.592 12.81
"54" 1288 0 0 0.612 19.527
"55" 1288 0 0 0.682 18.792
"56" 1288 0 0 1.262 1.575
"57" 1288 0 0 -0.118 18.397
"58" 1288 0 0 -0.488 4.617
"59" 1288 0 0 -0.518 18.207
"60" 1288 0 1 0.152 3.534
"61" 1288 0 1 0.202 13.543
"62" 1288 0 1 0.332 10.772
"63" 1288 0 1 0.352 22.919
"64" 1288 0 1 0.692 18.402
"65" 1288 0 1 1.082 20.69
"66" 1288 0 1 1.262 21.3
"67" 1288 0 1 -0.678 20.173
"68" 1288 0 1 -0.728 2.619
"69" 1288 0 1 -0.788 7.857
"70" 1288 1 0 -0.158 5.552
"71" 1288 1 0 -0.328 10.171
"72" 1288 1 1 -1.468 10.664
"73" 1296 0 0 -0.688 3.052
"74" 1296 1 0 0.352 10.84
"75" 1296 1 0 0.392 11.026
"76" 1296 1 0 0.522 22.201
"77" 1296 1 0 0.732 -1.353
"78" 1296 1 0 -0.038 5.52
"79" 1296 1 0 -0.168 5.995
"80" 1296 1 0 -0.178 6.588
"81" 1296 1 0 -0.308 10.715
"82" 1296 1 0 -0.608 8.773
"83" 1296 1 0 -0.628 12.721
"84" 1296 1 0 -0.658 11.589
"85" 1296 1 0 -0.818 2.814
"86" 1296 1 0 -0.858 0.781
"87" 1296 1 0 -0.898 23.172
"88" 1296 1 0 -1.148 2.359
"89" 1296 1 0 -1.258 8.895
"90" 1296 1 1 0.052 3.587
"91" 1296 1 1 0.142 3.404
"92" 1296 1 1 0.252 7.095
"93" 1296 1 1 0.322 5.216
"94" 1296 1 1 0.332 9.999
"95" 1296 1 1 0.972 7.353
"96" 1296 1 1 1.242 12.176
"97" 1296 1 1 -0.028 11.162
"98" 1296 1 1 -0.098 19.822
"99" 1296 1 1 -0.148 12.668
"100" 1296 1 1 -0.248 -0.014
"101" 1296 1 1 -0.288 8.278
"102" 1296 1 1 -0.358 7.095
"103" 1296 1 1 -0.408 -1.127
"104" 1296 1 1 -0.418 1.17
"105" 1296 1 1 -0.498 6.355
"106" 1296 1 1 -0.558 6.757
"107" 1296 1 1 -0.698 3.255
"108" 1296 1 1 -0.698 6.251
"109" 1296 1 1 -0.698 9.449
"110" 1296 1 1 -0.718 4.765
"111" 1296 1 1 -0.778 8.08
"112" 1296 1 1 -0.828 6.834
"113" 1296 1 1 -0.898 5.982
"114" 1296 1 1 -1.008 14.399
"115" 1296 1 1 -1.028 14.239
"116" 1296 1 1 -1.088 6.244
"117" 1296 1 1 -1.388 1.326
"118" 1296 1 1 -1.408 7.272
"119" 1296 1 1 -1.568 4.968
"120" 1296 1 1 -1.628 6.778
"121" 1308 0 0 0.422 13.233
"122" 1308 0 0 0.442 24.993
"123" 1308 0 0 0.552 21.488
"124" 1308 0 0 0.562 13.952
"125" 1308 0 0 0.622 15.998
"126" 1308 0 0 0.622 23.434
"127" 1308 0 0 0.682 22.676
"128" 1308 0 0 0.832 9.162
"129" 1308 0 0 0.892 10.546
"130" 1308 0 0 0.952 13.97
"131" 1308 0 0 1.102 16.258
"132" 1308 0 0 1.512 23.818
"133" 1308 1 0 0.102 2.512
"134" 1308 1 0 0.332 16.039
"135" 1308 1 0 0.522 6.493
"136" 1308 1 0 0.582 15.657
"137" 1308 1 0 0.802 17.615
"138" 1308 1 0 -0.058 13.757
"139" 1308 1 0 -0.348 22.393
"140" 1308 1 0 -0.568 21.116
"141" 1317 0 1 0.062 18.827
"142" 1317 0 1 0.132 14.752
"143" 1317 0 1 0.502 23.355
"144" 1317 0 1 0.542 18.939
"145" 1317 0 1 0.582 15.784
"146" 1317 0 1 0.702 13.677
"147" 1317 0 1 0.812 20.236
"148" 1317 0 1 0.882 12.862
"149" 1317 0 1 0.992 11.621
"150" 1317 0 1 1.122 4.508
"151" 1317 0 1 1.372 20.748
"152" 1317 0 1 -0.098 11.064
"153" 1317 0 1 -0.578 11.502
"154" 1317 1 1 0.082 13.373
"155" 1317 1 1 0.122 7.142
"156" 1317 1 1 0.132 18.362
"157" 1317 1 1 0.132 20.261
"158" 1317 1 1 0.272 3.22
"159" 1317 1 1 0.302 6.973
"160" 1317 1 1 0.322 10.394
"161" 1317 1 1 0.362 21.405
"162" 1317 1 1 0.472 9.257
"163" 1317 1 1 0.482 12.283
"164" 1317 1 1 0.482 21.405
"165" 1317 1 1 0.492 8.382
"166" 1317 1 1 0.612 10.956
"167" 1317 1 1 0.642 17.246
"168" 1317 1 1 0.722 11.027
"169" 1317 1 1 0.832 4.81
"170" 1317 1 1 0.932 8.961
"171" 1317 1 1 0.942 23.736
"172" 1317 1 1 0.952 9.337
"173" 1317 1 1 0.972 11.794
"174" 1317 1 1 1.152 20.039
"175" 1317 1 1 1.462 10.661
"176" 1317 1 1 -0.008 10.066
"177" 1317 1 1 -0.008 11.29
"178" 1317 1 1 -0.028 7.031
"179" 1317 1 1 -0.068 17.869
"180" 1317 1 1 -0.088 8.057
"181" 1317 1 1 -0.108 10.121
"182" 1317 1 1 -0.108 10.493
"183" 1317 1 1 -0.108 17.203
"184" 1317 1 1 -0.158 4.756
"185" 1317 1 1 -0.258 15.555
"186" 1317 1 1 -0.288 21.405
"187" 1317 1 1 -0.848 11.531
"188" 1317 1 1 -1.248 8.253
"189" 1358 0 0 0.122 11.03
"190" 1358 0 0 0.162 8.69
"191" 1358 0 0 0.252 15.038
"192" 1358 0 0 0.372 15.655
"193" 1358 0 0 0.422 16.294
"194" 1358 0 0 0.682 21.142
"195" 1358 0 0 0.942 18.115
"196" 1358 0 0 0.952 17.811
"197" 1358 0 0 1.092 18.735
"198" 1358 0 0 1.282 10.65
"199" 1358 0 0 -0.038 14.591
"200" 1358 0 0 -0.098 7.87
"201" 1358 0 0 -0.148 8.438
"202" 1358 0 0 -0.248 10.301
"203" 1358 0 0 -0.328 11.629
"204" 1358 0 0 -0.568 11.648
"205" 1358 0 0 -0.668 16.499
"206" 1358 0 1 0.232 10.19
"207" 1358 0 1 0.312 10.184
"208" 1358 0 1 0.362 7.564
"209" 1358 0 1 -0.018 18.687
"210" 1358 0 1 -0.038 14.646
"211" 1358 0 1 -0.168 7.519
"212" 1358 0 1 -0.398 17.191
"213" 1358 0 1 -0.678 2.933
"214" 1358 0 1 -1.088 8.054
"215" 1358 0 1 -1.408 3.792
"216" 1358 1 0 0.032 -1.347
"217" 1358 1 0 -1.208 -0.827
"218" 1358 1 1 -0.708 3.465
"219" 1374 0 0 0.322 16.663
"220" 1374 0 0 0.362 24.041
"221" 1374 0 0 0.902 23.419
"222" 1374 0 0 1.152 22.086
"223" 1374 0 0 -0.338 8.268
"224" 1374 0 0 -0.738 -2.002
"225" 1374 0 0 -0.738 12.063
"226" 1374 0 0 -0.858 15.557
"227" 1374 0 0 -0.948 1.344
"228" 1374 0 1 0.192 9.004
"229" 1374 0 1 0.332 10.593
"230" 1374 0 1 0.452 7.603
"231" 1374 0 1 0.492 20.93
"232" 1374 0 1 0.842 16.759
"233" 1374 0 1 -0.148 18.804
"234" 1374 0 1 -0.298 8.082
"235" 1374 0 1 -0.478 5.503
"236" 1374 0 1 -0.758 7.653
"237" 1374 0 1 -1.218 2.881
"238" 1374 1 0 0.072 18.948
"239" 1374 1 0 0.292 16.449
"240" 1374 1 0 0.712 -2.657
"241" 1374 1 0 1.242 0.333
"242" 1374 1 0 -0.598 5.803
"243" 1374 1 0 -1.028 3.931
"244" 1374 1 1 0.212 -2.155
"245" 1374 1 1 0.682 0.085
"246" 1374 1 1 -0.468 2.409
"247" 1433 0 0 0.222 17.571
"248" 1433 0 0 0.272 23.032
"249" 1433 0 0 0.382 24.044
"250" 1433 0 0 0.482 11.478
"251" 1433 0 0 0.542 14.198
"252" 1433 0 0 0.562 18.716
"253" 1433 0 0 0.592 19.571
"254" 1433 0 0 0.712 16.394
"255" 1433 0 0 0.772 13.254
"256" 1433 0 0 0.812 12.907
"257" 1433 0 0 0.852 22.183
"258" 1433 0 0 0.932 16.724
"259" 1433 0 0 0.942 20.447
"260" 1433 0 0 0.952 19.033
"261" 1433 0 0 0.952 24.812
"262" 1433 0 0 0.992 24.993
"263" 1433 0 0 1.022 23.327
"264" 1433 0 0 1.072 18.727
"265" 1433 0 0 1.072 22.093
"266" 1433 0 0 1.082 22.682
"267" 1433 0 0 1.182 18.586
"268" 1433 0 0 1.282 20.731
"269" 1433 0 0 1.292 24.812
"270" 1433 0 0 1.332 18.496
"271" 1433 0 0 1.362 24.421
"272" 1433 0 0 1.392 22.086
"273" 1433 0 0 1.512 15.992
"274" 1433 0 0 1.512 23.572
"275" 1433 0 0 -0.198 14.544
"276" 1433 0 0 -0.218 23.392
"277" 1433 0 0 -0.338 20.323
"278" 1433 0 0 -0.368 16.676
"279" 1433 0 0 -0.458 20.628
"280" 1433 0 0 -0.588 15.246
"281" 1433 1 0 1.002 24.479
"282" 1436 0 0 0.212 9.561
"283" 1436 0 0 0.222 24.133
"284" 1436 0 0 0.242 22.578
"285" 1436 0 0 0.252 12.535
"286" 1436 0 0 0.252 16.886
"287" 1436 0 0 0.272 15.06
"288" 1436 0 0 0.362 13.472
"289" 1436 0 0 0.542 18.984
"290" 1436 0 0 0.672 22.868
"291" 1436 0 0 0.682 15.879
"292" 1436 0 0 0.682 16.038
"293" 1436 0 0 0.702 22.985
"294" 1436 0 0 0.712 22.455
"295" 1436 0 0 0.732 14.138
"296" 1436 0 0 0.772 18.14
"297" 1436 0 0 0.802 20.424
"298" 1436 0 0 0.822 23.271
"299" 1436 0 0 0.952 23.072
"300" 1436 0 0 1.122 24.993
"301" 1436 0 0 1.142 18.844
"302" 1436 0 0 1.342 24.479
"303" 1436 0 0 1.512 21.803
"304" 1436 0 0 -0.018 18.33
"305" 1436 0 0 -0.028 22.592
"306" 1436 0 0 -0.078 18.77
"307" 1436 0 0 -0.298 18.763
"308" 1436 0 0 -0.318 17.465
"309" 1436 0 0 -0.338 19.419
"310" 1436 0 0 -1.038 18.301
"311" 1436 0 1 0.212 6.798
"312" 1436 0 1 0.242 11.001
"313" 1436 0 1 0.342 5.51
"314" 1436 0 1 0.482 16.568
"315" 1436 0 1 0.482 17.495
"316" 1436 0 1 0.782 20.818
"317" 1436 0 1 0.792 15.132
"318" 1436 0 1 1.002 13.12
"319" 1436 0 1 1.042 18.471
"320" 1436 0 1 1.212 20.268
"321" 1436 0 1 1.222 17.103
"322" 1436 0 1 1.342 22.387
"323" 1436 0 1 1.512 15.615
"324" 1436 0 1 1.512 18.827
"325" 1436 0 1 -0.298 21.56
"326" 1461 0 0 0.172 -0.338
"327" 1461 0 0 0.932 21.007
"328" 1461 0 0 1.062 18.471
"329" 1461 0 0 1.062 22.685
"330" 1461 0 0 1.212 24.48
"331" 1461 0 0 1.262 22.461
"332" 1461 0 0 1.272 23.088
"333" 1461 0 0 1.352 18.259
"334" 1461 0 0 1.392 18.322
"335" 1461 0 0 1.422 23.517
"336" 1461 0 0 -0.108 14.157
"337" 1461 0 0 -0.358 17.999
"338" 1461 0 0 -0.778 22.183
"339" 1461 0 1 0.042 12.962
"340" 1461 0 1 0.462 18.831
"341" 1461 0 1 0.482 18.719
"342" 1461 0 1 0.492 21.09
"343" 1461 0 1 0.532 18.114
"344" 1461 0 1 0.602 15.918
"345" 1461 0 1 0.822 14.581
"346" 1461 0 1 0.902 12.595
"347" 1461 0 1 0.982 18.471
"348" 1461 0 1 1.012 20.928
"349" 1461 0 1 1.022 17.326
"350" 1461 0 1 1.102 24.993
"351" 1461 0 1 1.122 13.314
"352" 1461 0 1 1.172 16.929
"353" 1461 0 1 1.202 18.858
"354" 1461 0 1 1.262 17.483
"355" 1461 0 1 1.282 24.545
"356" 1461 0 1 -0.258 2.895
"357" 1461 0 1 -1.108 3.796
"358" 1461 1 0 -0.668 -2.832
"359" 1462 0 0 0.302 20.792
"360" 1462 1 0 0.032 15.103
"361" 1462 1 0 0.112 16.534
"362" 1462 1 0 0.162 1.967
"363" 1462 1 0 0.222 2.142
"364" 1462 1 0 0.222 12.089
"365" 1462 1 0 0.312 6.035
"366" 1462 1 0 0.402 3.819
